# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
1001	6	0	26	14	0
1002	36	0	85	16	0
1003	67	0	146	15	0
1004	95	0	206	16	0
1005	125	0	265	16	0
1006	155	0	326	16	0
1007	187	0	199	15	0
1008	216	0	230	15	0
1009	247	0	259	15	0
1010	275	0	291	16	0
1011	306	0	321	16	0
1012	335	0	351	16	0
1013	367	0	379	15	0
1014	397	0	410	1	0
1015	426	0	440	16	0
2001	5	40	6	41	0
2002	35	40	51	56	0
2003	65	40	81	56	0
2004	96	40	110	56	0
2005	125	40	141	55	0
2006	155	40	171	56	0
2007	186	40	200	55	0
2008	216	40	230	55	0
2009	246	40	260	55	0
2010	275	40	291	56	0
2011	305	40	321	55	0
2012	36	40	50	56	0
2013	65	40	81	56	0
2014	395	40	411	56	0
2015	426	40	441	56	0
3001	5	80	21	96	0
3002	35	80	51	96	0
3003	66	80	80	95	0
3004	96	80	110	95	0
3005	125	80	141	95	0
3006	155	80	170	96	0
3007	185	80	200	96	0
3008	246	80	261	96	0
3009	276	80	291	96	0
3010	305	80	321	95	0
3011	336	80	350	95	0
3012	366	80	380	95	0
3013	395	80	411	96	0
3014	425	80	441	96	0
4001	7	124	19	137	0
4002	38	124	50	138	0
4003	66	120	80	135	0
4004	95	120	110	136	0
4005	126	120	139	136	0
4006	155	120	170	136	0
4007	186	120	200	136	0
4008	215	120	231	136	0
4009	246	120	260	136	0
4010	276	120	291	136	0
4011	307	120	320	136	0
4012	336	120	351	136	0
4013	366	120	380	135	0
4014	396	124	408	138	0
4015	427	124	439	137	0
5001	5	154	21	182	0
5002	35	155	54	181	0
5003	65	154	84	181	0
5004	93	154	112	181	0
5005	125	155	141	181	0
5006	155	154	171	181	0
5007	186	154	200	181	0
5008	215	154	231	181	0
5009	246	154	260	181	0
5010	275	154	291	181	0
5011	305	155	321	181	0
5012	334	154	353	181	0
5013	362	154	381	181	0
5014	392	155	411	181	0
5015	425	154	441	182	0
6001	5p	195	16	221	0
6002	33	195	52	221	0
6003	64	194	82	221	0
6004	93	195	112	221	0
6005	194	19	221	45	0
6006	153	94	172	121	0
6007	184	194	202	221	0
6008	215	194	231	221	0
6009	244	194	262	221	0
6010	274	194	293	221	0
6011	304	194	323	221	0
6012	334	195	353	221	0
6013	364	194	382	221	0
6014	394	195	413	221	0
6015	425	195	441	221	0
7001	6	239	20	257	0
7002	36	234	50	261	0
7003	66	234	80	261	0
7004	96	234	110	261	0
7005	125	235	141	261	0
